balls,strikes,deficit,runs_scored,fastballs_seen,count,optimal_action,value
2,0,2,2,0,2-0,take,0.492975813126569
2,0,2,2,1,2-0,take,0.49231975723072474
2,0,2,2,2,2-0,take,0.4919048830877394
2,0,2,2,3,2-0,take,0.4920146584761176
2,0,2,3,0,2-0,take,0.492975813126569
2,0,2,3,1,2-0,take,0.49231975723072474
2,0,2,3,2,2-0,take,0.4919048830877394
2,0,2,3,3,2-0,take,0.4920146584761176
2,0,3,0,0,2-0,take,0.35811523591052746
2,0,3,0,1,2-0,take,0.3576386534784789
2,0,3,0,2,2-0,take,0.3573372740834738
2,0,3,0,3,2-0,take,0.3574170188463536
2,0,3,1,0,2-0,take,0.35811523591052746
2,0,3,1,1,2-0,take,0.3576386534784789
2,0,3,1,2,2-0,take,0.3573372740834738
2,0,3,1,3,2-0,take,0.3574170188463536
2,0,3,2,0,2-0,take,0.35811523591052746
2,0,3,2,1,2-0,take,0.3576386534784789
2,0,3,2,2,2-0,take,0.3573372740834738
2,0,3,2,3,2-0,take,0.3574170188463536
2,0,3,3,0,2-0,take,0.35811523591052746
2,0,3,3,1,2-0,take,0.3576386534784789
2,0,3,3,2,2-0,take,0.3573372740834738
2,0,3,3,3,2-0,take,0.3574170188463536
2,1,0,0,0,2-1,take,0.7767297066155195
2,1,0,0,1,2-1,take,0.7743484996190093
2,1,0,0,2,2-1,take,0.7714103260499732
2,1,0,0,3,2-1,take,0.7701605212703007
2,1,0,1,0,2-1,take,0.7767297066155195
2,1,0,1,1,2-1,take,0.7743484996190093
2,1,0,1,2,2-1,take,0.7714103260499732
2,1,0,1,3,2-1,take,0.7701605212703007
2,1,0,2,0,2-1,take,0.7767297066155195
2,1,0,2,1,2-1,take,0.7743484996190093
2,1,0,2,2,2-1,take,0.7714103260499732
2,1,0,2,3,2-1,take,0.7701605212703007
2,1,0,3,0,2-1,take,0.7767297066155195
2,1,0,3,1,2-1,take,0.7743484996190093
2,1,0,3,2,2-1,take,0.7714103260499732
2,1,0,3,3,2-1,take,0.7701605212703007
2,1,1,0,0,2-1,take,0.5796815188623368
2,1,1,0,1,2-1,take,0.5779043991298145
2,1,1,0,2,2-1,take,0.5757116094081473
2,1,1,0,3,2-1,take,0.5747788670052348
2,1,1,1,0,2-1,take,0.5796815188623368
2,1,1,1,1,2-1,take,0.5779043991298145
2,1,1,1,2,2-1,take,0.5757116094081473
2,1,1,1,3,2-1,take,0.5747788670052348
2,1,1,2,0,2-1,take,0.5796815188623368
2,1,1,2,1,2-1,take,0.5779043991298145
2,1,1,2,2,2-1,take,0.5757116094081473
2,1,1,2,3,2-1,take,0.5747788670052348
2,1,1,3,0,2-1,take,0.5796815188623368
2,1,1,3,1,2-1,take,0.5779043991298145
